,TimeDiff,tweet_1st,tweet_2nd,Label
12,215.8227777777778,7.9651794,1.651576,1
25,215.6833333333333,6.4255795,3.059138,0
30,215.64305555555555,12.821662,-7.5484157,1
31,215.6425,12.821639,-7.548419,1
32,215.64138888888888,7.676022,4.642885,1
33,215.6363888888889,8.326539,4.05748,1
35,215.61694444444444,12.821644,-7.548443,1
36,215.6027777777778,12.821639,-7.548399,1
43,215.46694444444444,5.6102195,3.0245512,0
44,215.41361111111112,5.208274,2.4025397,1
47,215.39055555555555,5.273002,2.8314044,0
48,215.35972222222225,6.8025355,6.0793605,1
50,215.3486111111111,6.557307,4.0424633,1
51,215.3475,6.5420237,2.6136742,1
60,215.22027777777777,5.367934,3.5275064,1
94,214.74777777777777,8.908997,0.22741814,1
100,214.6747222222222,5.219022,3.0377421,0
103,214.64166666666668,5.7983713,2.900092,0
111,214.58277777777775,7.928976,6.8193383,1
112,214.57111111111112,6.0180187,3.065458,1
124,214.36388888888888,6.1345215,1.8967093,1
134,214.25,10.616501,5.0373945,1
140,214.1772222222222,8.01095,7.629936,0
164,213.99388888888888,5.502518,3.000927,0
178,213.85111111111112,6.409512,4.1517553,0
183,213.80055555555555,5.725211,3.3043728,1
191,213.7455555555556,7.8561077,7.4822316,0
194,213.7175,9.672166,2.73007,1
202,213.5963888888889,5.818163,3.0387409,1
205,213.56833333333333,6.574259,2.4444163,0
208,213.5261111111111,6.828018,1.1092081,1
215,213.44444444444449,8.849406,1.61696,0
220,213.40444444444444,7.907721,7.24059,1
237,213.26805555555555,6.705028,2.8424153,1
254,213.115,7.4405313,4.2979236,1
257,213.09694444444443,7.6281476,1.546904,1
263,213.0325,8.276858,1.3742728,0
266,213.0077777777778,6.5672626,3.4251611,1
267,213.0052777777778,5.379165,6.938903,1
270,212.99972222222223,5.764281,2.5184405,1
277,212.96666666666667,7.332149,2.5948758,0
293,212.8875,5.685835,3.406469,0
298,212.88222222222225,5.501045,2.2730818,1
303,212.85888888888888,7.599469,2.9348938,1
334,212.67305555555555,5.4563313,2.8929353,0
335,212.6675,6.9830136,0.8762753,0
341,212.6266666666667,8.068176,6.788206,1
348,212.60111111111112,9.271538,2.4032738,1
365,212.49055555555557,7.625766,1.477836,0
368,212.44583333333333,7.560171,0.87853295,1
373,212.3430555555556,5.094448,2.3528893,0
375,212.3347222222222,7.9574018,6.284797,1
389,212.2722222222222,7.575544,4.3840456,1
410,212.155,6.679942,5.183442,1
411,212.15444444444444,6.6217446,5.453542,0
416,212.10472222222225,6.3440204,3.3045738,1
422,212.0911111111111,6.6078362,6.378892,0
450,211.95277777777775,6.982473,1.0730639,1
452,211.9308333333333,8.729276,1.5635827,1
455,211.9208333333333,7.0018907,1.1202283,1
456,211.91722222222225,8.4372835,6.4522557,0
467,211.76777777777775,7.8378177,3.803713,1
469,211.7108333333333,8.036581,6.8698783,1
480,211.61444444444444,5.5846057,3.1699166,0
510,211.41416666666663,4.671952,2.7824292,0
524,211.26,9.033539,0.19112124,1
535,211.16166666666663,6.125175,2.756978,1
540,211.1122222222222,6.2594743,2.6322253,1
566,210.9405555555556,8.618082,1.7371027,1
568,210.9225,6.2886305,4.7049403,1
590,210.75194444444443,8.179239,1.3862276,1
593,210.72194444444443,6.143244,1.6214412,0
602,210.59222222222223,5.3016796,3.0211797,1
603,210.5888888888889,10.683958,3.8813736,1
609,210.52277777777775,6.6567593,2.520245,1
630,210.34194444444444,8.222842,6.6016173,1
638,210.28972222222225,8.499893,3.185849,1
645,210.26194444444445,7.8592477,2.758139,1
654,210.2133333333333,5.5271254,3.0384057,0
660,210.18472222222223,8.508278,1.2614627,1
663,210.1786111111111,7.9952083,1.5060816,1
675,210.13083333333333,6.6736865,6.61045,1
695,210.00027777777777,8.211522,1.1993351,1
701,209.97694444444448,5.6913614,3.171208,0
720,209.83388888888888,6.853196,3.1867628,1
759,209.54861111111111,6.9850774,7.2052584,1
762,209.53333333333333,8.281421,4.4382787,1
763,209.5286111111111,7.2667747,2.4861143,1
765,209.51416666666665,7.9475327,6.862124,1
774,209.38111111111112,5.367408,2.9411328,1
803,209.21138888888888,8.399302,0.9630783,1
807,209.1725,7.9894824,4.0731583,1
811,209.1652777777778,8.481878,0.9696506,1
814,209.15444444444444,8.53256,1.0605218,1
815,209.15,9.363824,3.3150291,1
819,209.1002777777778,10.182335,6.5445876,1
822,209.08055555555555,4.855558,1.8286189,0
839,209.00027777777777,9.540204,1.1497945,1
841,208.9988888888889,8.707634,1.4702815,1
844,208.98805555555555,4.876661,1.7934861,1
862,208.9025,6.731095,3.6611886,1
895,208.74138888888888,8.130909,7.240342,0
900,208.70555555555555,6.76981,6.2962174,1
915,208.5822222222222,6.649429,3.5212715,1
922,208.535,8.529312,6.5949745,1
928,208.51472222222225,5.5982985,3.1806755,1
933,208.48444444444445,6.609726,0.7689448,1
952,208.35944444444445,6.5694923,3.8821588,0
956,208.32944444444445,7.101952,7.2100935,1
960,208.3083333333333,6.584378,3.1287963,0
965,208.25722222222225,4.833957,1.8195912,0
970,208.23416666666665,6.68686,2.86436,1
