,TimeDiff,tweet_1st,tweet_2nd,Label
3,215.9711111111111,8.767741,3.1706681,1
45,215.40472222222223,5.666107,2.9047513,0
61,215.20694444444445,7.491564,0.70945513,0
139,214.2,8.531785,0.92042905,1
146,214.11666666666667,5.830001,1.7228043,0
150,214.07527777777776,10.732941,2.2588513,1
151,214.0727777777778,9.556689,1.1402917,1
161,214.005,7.638973,4.1749344,0
176,213.88888888888889,8.718971,3.2716243,0
192,213.73166666666663,5.4634185,2.8139737,0
212,213.48638888888888,8.496565,3.8774076,1
213,213.48611111111111,7.0836816,2.1128943,0
250,213.15166666666667,6.1696196,1.044758,1
313,212.82444444444445,9.605889,0.999678,1
325,212.7425,7.941693,1.106138,0
342,212.62027777777777,7.7678266,0.5551972,0
377,212.33166666666668,2.9290957,2.9926007,1
399,212.20166666666665,9.466693,2.7499046,1
408,212.17138888888888,9.045262,5.010975,0
413,212.1352777777778,9.548394,1.0912628,1
414,212.1286111111111,8.3204,3.8543937,1
458,211.86277777777775,4.9189076,3.3725762,1
471,211.69944444444445,7.5985055,5.311248,1
487,211.58194444444445,6.3793497,2.8857207,0
501,211.4633333333333,8.177465,4.752783,0
506,211.42527777777775,9.554529,1.1427286,1
507,211.42166666666665,8.009303,1.7856153,0
513,211.4,9.521835,1.1992699,1
538,211.1355555555556,6.999424,0.8511199,0
546,211.05944444444444,5.444947,6.8882437,1
556,211.01444444444445,6.569322,2.9114215,1
562,210.9908333333333,8.048717,3.5795093,1
589,210.7933333333333,3.4669118,3.2487576,1
598,210.66472222222225,6.4063106,1.1966747,0
604,210.57722222222225,6.210907,4.5905604,0
624,210.41944444444445,6.602468,0.666958,0
639,210.28333333333333,6.5624814,5.3711624,0
648,210.2447222222222,7.653358,4.432423,1
676,210.12694444444443,7.2611732,0.92557395,1
689,210.02166666666668,7.996535,4.67018,0
699,209.9922222222222,6.5237627,5.393623,0
728,209.79777777777775,8.700198,3.2948003,1
744,209.68055555555557,8.336605,0.8088723,0
794,209.2888888888889,9.331027,2.7742596,1
798,209.2516666666667,5.748651,3.2094858,0
800,209.23833333333332,9.011249,3.6986053,1
801,209.22722222222225,6.33556,4.078597,1
813,209.15694444444443,6.175559,0.71211654,1
830,209.03222222222223,7.5357594,1.0540199,0
867,208.88194444444449,6.988649,1.0519135,1
884,208.79166666666663,6.5794406,0.8806159,0
898,208.71527777777777,6.96711,0.8196272,1
920,208.5405555555556,5.6325917,1.3443344,0
923,208.5325,5.1912827,4.871296,1
926,208.52305555555557,6.9105477,2.1780097,1
941,208.41472222222225,4.1983285,3.409883,1
943,208.4086111111111,6.2082844,3.1552758,1
948,208.3863888888889,5.048214,3.2899365,1
953,208.34722222222223,8.881156,3.9071884,1
955,208.33694444444444,6.339109,1.3730118,1
987,208.16444444444448,8.522354,0.95562834,1
993,208.1508333333333,7.0639944,3.9624586,1
1009,208.01583333333332,5.8215804,3.0579727,0
1024,207.91333333333333,7.574086,0.7489436,0
1038,207.79861111111111,8.694959,3.592218,1
1041,207.7925,5.330404,2.7543788,1
1052,207.73638888888888,8.401333,3.6331594,1
1087,207.53861111111112,7.315798,0.7720671,0
1088,207.5375,7.020887,3.8431208,0
1090,207.5305555555556,5.783989,1.1202387,1
1093,207.51,8.909495,6.01313,1
1112,207.38333333333333,5.4744844,6.875346,0
1118,207.32944444444445,9.816352,1.5626148,0
1137,207.2180555555556,6.6036777,0.610801,0
1157,207.1280555555556,8.483601,5.284137,1
1160,207.07861111111112,6.528061,1.0440348,0
1181,206.92527777777775,8.737414,1.4083594,0
1189,206.88472222222225,6.083461,1.4913342,0
1232,206.6263888888889,8.338209,3.3974261,1
1267,206.44,8.544831,5.0688715,0
1294,206.25,5.5764837,6.9917903,1
1300,206.175,7.042872,0.81224626,1
1307,206.0911111111111,9.541067,1.2056203,1
1337,205.84666666666664,6.62049,5.406921,1
1353,205.6683333333333,6.8913083,4.467832,1
1354,205.66722222222225,7.557589,4.8194814,1
1357,205.65194444444444,8.348306,1.6173954,1
1400,205.20111111111112,5.651923,2.3274934,0
1425,204.97944444444445,9.562849,1.154531,1
1440,204.71055555555557,6.7860913,9.729187,1
1442,204.70833333333331,6.787572,9.725008,1
1455,204.4961111111111,9.683939,0.7915153,1
1472,204.22694444444448,4.6097703,2.827335,0
1480,204.0713888888889,8.759783,3.3536458,1
1502,203.61916666666667,5.445385,6.87888,0
1543,202.9725,7.3034053,6.3917317,1
1557,202.685,12.177217,0.20811114,0
1565,202.45166666666665,9.4805,1.3823445,1
1585,201.92916666666667,9.115398,2.8198931,1
1591,201.8358333333333,6.8685875,2.7215114,1
1617,201.2863888888889,9.494118,0.6404422,1
1622,201.08333333333331,9.56863,1.1255227,1
1626,201.0,9.577691,1.1383357,1
1627,200.84,6.9213185,5.187634,1
1637,200.48472222222225,7.554288,3.1649714,1
1641,200.40666666666667,9.534522,1.1408317,1
1644,200.25,9.445813,1.4038149,1
1665,199.6625,3.8311229,3.3195388,0
1687,199.13472222222225,9.4364195,1.3035954,1
1696,198.82805555555555,9.564572,1.0859092,1
1699,198.58416666666668,9.321731,4.2959733,1
1705,198.29555555555555,9.573156,1.0982195,1
1734,197.22583333333333,9.541058,1.1252202,1
1749,196.935,9.520156,1.2020609,1
1765,196.63166666666663,9.451244,1.34708,1
1772,196.52722222222224,9.255021,4.1892805,1
1774,196.51916666666668,4.775047,6.6777844,0
1779,196.3761111111111,9.508285,1.2385665,1
1783,196.2697222222222,6.57594,0.76823974,1
1791,196.03583333333333,9.591033,1.0904502,1
1810,195.6525,8.056505,1.838428,0
