,TimeDiff,tweet_1st,tweet_2nd,Label
200,213.65,7.406828,2.3628092,1
402,212.1836111111111,6.10512,0.70880646,1
457,211.91694444444445,7.355139,0.7614721,0
536,211.1525,8.268966,2.1629019,1
743,209.68722222222223,6.76816,3.3208194,1
838,209.0052777777778,6.0199904,1.0536355,1
968,208.2463888888889,7.722004,2.6774254,1
1114,207.36444444444444,9.453114,0.6160908,1
1163,207.05027777777775,6.5560036,1.2496827,1
1372,205.53333333333333,7.8501034,1.6832112,0
1438,204.7238888888889,6.542875,1.2761986,1
1479,204.0822222222222,7.9855547,4.3080883,1
1907,194.3711111111111,7.264569,0.8307891,1
2520,189.44,9.449885,0.6394442,1
2696,187.95333333333332,5.8629885,2.9397874,1
2716,187.83138888888888,9.496017,0.6414091,1
3004,185.98194444444445,9.487217,0.61638844,1
3089,185.55777777777777,8.204509,-1.7413291,1
3136,185.39166666666668,5.545358,3.4507844,1
3171,185.2447222222222,8.575558,1.897215,1
3323,184.76277777777776,9.715492,2.0490553,0
3709,183.56166666666667,6.6680474,0.7116762,1
3887,182.98805555555555,6.5755434,1.250385,1
3963,182.70444444444445,6.557673,1.2828122,1
4535,180.1377777777778,5.225927,1.4880933,1
4814,176.74694444444444,8.249344,2.2469656,1
4815,176.74694444444444,7.7548485,2.829515,1
4861,175.66611111111112,6.4319286,1.9219099,0
6049,166.44833333333332,7.124827,2.3053725,1
6474,164.0,7.8723207,2.1847973,0
6575,163.395,7.991913,2.4480765,1
6605,163.15444444444444,7.693951,2.6539426,0
6663,162.71,7.464187,2.4411926,0
6665,162.69694444444443,6.7265496,0.69829535,0
6675,162.6327777777778,7.571962,0.66407263,0
6753,162.06666666666666,7.3778577,2.2131314,0
6859,161.3336111111111,8.806422,1.8798746,1
6873,161.27833333333334,7.595664,2.4280043,1
6911,161.1125,7.3730826,3.9332397,1
6923,161.07444444444445,7.5085917,2.9285407,1
7112,160.15277777777777,6.7789655,0.8823023,0
7650,157.22,8.07569,2.0740027,1
7709,156.66833333333332,8.953072,1.8956373,1
7715,156.61916666666667,6.763316,0.6493401,1
8099,148.29361111111112,10.352593,3.7522452,1
8699,143.35055555555556,7.6284184,0.5744786,0
9091,140.82722222222225,6.8333263,2.665972,1
9138,140.67194444444445,8.328451,2.0366752,1
9142,140.65555555555557,7.1410346,0.9683584,1
9157,140.5613888888889,6.557926,2.5619888,1
9204,140.33583333333334,6.495963,1.0125669,0
9462,139.0788888888889,5.9851036,2.9260504,0
9497,138.9,8.236092,2.4384947,1
9500,138.89444444444447,5.5285378,4.3068776,1
9743,137.81722222222223,7.046413,1.5658268,1
10370,135.45472222222224,7.371629,3.3413384,0
10487,134.91555555555558,8.349137,1.589609,1
10745,133.6591666666667,7.253284,2.9184597,1
10895,132.91083333333336,7.0937657,0.9299712,1
11198,129.19611111111112,7.6461315,2.3879933,1
11274,126.79916666666666,7.5269227,2.7437568,1
11514,122.79388888888889,7.3178425,4.115351,1
11621,121.76555555555557,7.777584,7.734915,1
11922,119.77194444444444,5.2772923,2.1221375,1
12143,118.75111111111111,5.8462253,0.9928131,1
12214,118.50111111111111,5.8698463,0.9790483,1
12254,118.3775,5.2158623,3.478555,0
12353,118.04444444444444,7.8787303,3.9223337,0
12485,117.69916666666668,7.59553,2.592239,1
12578,117.43611111111112,7.408514,2.3935232,0
12600,117.36666666666666,7.300036,2.178389,0
12722,116.96055555555556,7.44719,2.9740152,0
12761,116.83027777777778,7.3094583,2.44285,1
12762,116.82111111111112,7.44539,4.2803836,1
12996,115.96777777777778,7.3966713,2.4935985,1
13035,115.85027777777778,8.049181,1.9746517,1
13329,115.0825,7.4088383,2.4550858,1
13384,114.96222222222222,9.058596,2.1990035,1
13464,114.79083333333334,7.7949386,2.299023,0
13572,114.56555555555556,7.27688,2.5723083,1
13779,114.02027777777778,7.277388,2.6423807,1
13832,113.8975,6.5821824,1.9293442,1
13994,113.49972222222222,8.273391,2.2641878,1
14048,113.31666666666666,7.359787,2.5090835,1
14100,113.17805555555556,8.0684185,2.1082609,1
14146,113.06388888888888,7.519721,3.1685185,1
14194,112.96055555555556,7.27506,1.37101,1
14405,112.51388888888889,8.664014,1.8262904,0
14643,112.09611111111111,7.3582673,2.5436919,1
14738,111.97611111111112,8.506173,2.0887854,1
14831,111.81777777777778,7.9145427,2.6725278,1
14844,111.79972222222224,4.28512,2.1022282,1
15447,110.785,7.481479,3.104002,1
15472,110.75305555555556,6.754668,1.98022,0
15642,110.43194444444444,7.393023,4.2839847,1
15932,109.98777777777778,5.961837,2.9027286,1
