,TimeDiff,tweet_1st,tweet_2nd
0,215.99972222222223,10.708929,3.7721472
1,215.9886111111111,11.942713,3.8850515
2,215.98277777777776,6.0726733,0.73536694
4,215.95222222222225,2.240252,3.462578
5,215.945,9.293969,1.7539254
6,215.9427777777778,6.711365,1.760421
7,215.94027777777777,-10.868768,2.802788
9,215.9,5.7463737,0.44769856
10,215.89055555555555,5.891301,4.5613885
11,215.8388888888889,9.156995,3.3278534
13,215.81472222222223,9.250066,3.2865918
14,215.8088888888889,9.587968,1.096683
15,215.80305555555557,9.43171,2.059602
16,215.8022222222222,6.157531,6.1137466
17,215.79527777777776,3.6858644,3.3395197
18,215.79305555555555,4.5688834,3.7460725
19,215.77027777777775,-11.376849,2.8432813
20,215.7505555555556,6.8552966,4.0846195
21,215.7455555555556,7.332861,3.740387
22,215.70111111111112,-11.34941,3.0148869
24,215.685,6.997942,5.195598
26,215.67805555555557,9.41153,1.3314685
28,215.6461111111111,4.191984,3.290825
34,215.6211111111111,7.269842,4.0944333
37,215.60111111111112,9.059695,4.170078
38,215.5975,8.519035,7.560682
39,215.595,10.178454,4.1517406
40,215.58527777777775,6.1124578,0.325194
41,215.57361111111112,4.5070024,3.293404
42,215.49055555555557,8.600735,2.7259362
46,215.39277777777775,3.263401,3.598114
52,215.3383333333333,-11.343113,3.1612122
53,215.3372222222222,8.4905815,3.4238467
54,215.3372222222222,8.662032,3.2000654
55,215.2875,5.38582,7.0168796
56,215.26777777777775,9.155584,1.2941625
57,215.24416666666667,-2.7013323,15.808982
58,215.23277777777776,8.888566,3.1077504
63,215.13888888888889,8.123494,1.16698
64,215.135,8.722403,2.9787998
65,215.12777777777777,7.0363913,1.1042618
66,215.1208333333333,2.651011,2.3235579
67,215.1,6.902944,4.277321
68,215.07111111111112,6.361398,0.7318216
70,215.0580555555556,-2.6656313,15.714131
71,215.03333333333333,5.3524394,2.8739402
72,215.03194444444443,-2.7960942,15.750861
73,215.01361111111112,5.3688645,0.94247454
74,215.0125,6.2229447,6.0874124
75,215.0,8.005177,0.54807556
76,214.9355555555556,5.4328322,4.546628
77,214.9355555555556,5.631106,4.916459
78,214.93055555555557,-2.8193254,15.742969
79,214.9297222222222,16.231525,0.0704455
81,214.90666666666667,7.0942025,4.098828
82,214.905,8.787164,3.7262943
83,214.88777777777776,6.404893,0.98025167
84,214.88083333333333,7.046115,1.2687503
85,214.82805555555555,7.695614,0.61588836
86,214.8230555555556,4.871719,1.7448028
89,214.7725,4.572863,3.681741
90,214.76444444444445,6.7483563,4.0650697
93,214.75083333333333,3.4879873,2.508469
96,214.7333333333333,9.199706,5.80879
97,214.7061111111111,3.5827503,5.2326264
98,214.6905555555556,2.2695203,3.3292067
99,214.6833333333333,6.14378,0.43787745
101,214.67,9.548943,1.1323613
102,214.66916666666663,5.8189683,0.63338536
104,214.64,-8.025955,14.146657
105,214.6225,4.2684917,3.7412088
106,214.6183333333333,5.473135,6.941705
107,214.60666666666663,4.876849,1.0177875
108,214.6063888888889,7.1973114,3.2343118
109,214.5986111111111,3.827455,4.625249
110,214.58972222222224,5.268451,3.0713022
113,214.5638888888889,5.226225,3.2332373
114,214.5588888888889,4.5849986,3.9155684
115,214.54666666666665,6.9400563,1.6152585
