,TimeDiff,tweet_1st,tweet_2nd,Label
8,215.93777777777777,6.9339895,3.5056076,1
23,215.6952777777778,6.6160965,1.5132279,1
27,215.6475,8.386896,3.7909188,1
29,215.64333333333332,6.5200224,1.6362141,1
59,215.22694444444448,9.518955,0.63471794,1
69,215.0641666666667,5.1475644,6.5869846,1
80,214.91722222222225,7.1240997,0.5744075,0
87,214.8011111111111,9.262584,7.766528,0
88,214.80055555555555,6.7612505,2.5102365,1
92,214.75444444444443,5.57322,5.237259,1
135,214.24944444444444,6.473673,0.9485986,0
143,214.13444444444443,5.149658,3.7047749,1
211,213.50666666666663,7.057026,2.2010033,0
214,213.45222222222225,7.5004687,-0.4131368,0
219,213.40722222222223,7.7880535,3.8994975,1
255,213.11416666666668,6.6859584,3.4460435,1
282,212.93166666666667,4.783865,0.6289314,1
283,212.91694444444445,9.487967,0.6125439,1
318,212.7902777777778,4.801138,0.62603325,1
333,212.67638888888888,5.057285,0.813787,1
376,212.33333333333331,8.468428,7.594081,0
412,212.1363888888889,6.5237823,1.8588129,1
420,212.09694444444443,4.7751956,3.3989003,0
423,212.08388888888888,7.428984,1.1690446,0
428,212.0475,9.522098,0.57805645,1
478,211.6233333333333,7.77658,1.2715251,0
488,211.55777777777777,4.484937,2.4890168,0
495,211.5186111111111,8.961072,2.9750993,1
496,211.50416666666663,6.1756926,1.4284097,1
550,211.0338888888889,8.910753,6.6184764,1
558,211.00833333333333,7.256984,0.960152,1
572,210.87166666666667,6.534867,2.2503438,0
611,210.5052777777778,6.8849273,5.5665483,1
633,210.31527777777777,7.6653657,1.4338826,0
640,210.2830555555556,6.414978,0.9359252,1
650,210.2386111111111,6.0602846,2.5708666,1
668,210.1511111111111,8.2840395,5.793531,1
721,209.8322222222222,7.2792587,0.92213184,0
740,209.71833333333333,5.304515,6.534768,0
748,209.6027777777778,5.513171,4.6342554,0
773,209.39777777777775,7.3052616,0.7277659,1
782,209.3411111111111,8.567631,7.4544544,0
820,209.08527777777775,7.180891,0.434598,0
828,209.0361111111111,9.463561,0.6239151,1
852,208.9380555555556,8.781307,6.8627796,1
869,208.86916666666667,6.4970827,0.67835283,0
883,208.79611111111112,7.917822,6.869141,1
899,208.70888888888888,6.781534,3.5198152,1
902,208.68944444444443,7.8988576,7.502645,1
904,208.67638888888888,4.7475557,1.7737149,0
961,208.30194444444444,6.700475,5.341104,1
1010,208.015,7.1806083,0.9117069,0
1011,208.0125,7.171536,0.9408502,0
1070,207.64138888888888,7.117944,1.593291,1
1078,207.58805555555557,3.5517194,10.450325,0
1134,207.2308333333333,7.8517804,1.0800678,0
1167,207.0336111111111,10.355168,2.3024359,1
1176,206.96666666666667,6.1889296,0.440212,0
1215,206.7313888888889,6.2667007,4.325404,1
1219,206.71416666666667,7.9128156,7.1121225,0
1220,206.70805555555555,5.166884,0.5494883,1
1253,206.50694444444449,9.4667845,0.6083891,1
1257,206.4752777777778,7.1435323,0.7549444,1
1261,206.4658333333333,6.4211936,0.6896616,0
1263,206.46,8.291052,1.112302,0
1270,206.42222222222225,7.497027,1.2933202,1
1280,206.37833333333333,6.2637243,0.5270058,0
1281,206.35888888888888,4.730982,1.8041395,0
1284,206.3075,6.348155,1.1118667,0
1336,205.85,5.6159887,6.6297793,0
1338,205.82,5.988992,3.563591,0
1340,205.8086111111111,4.2853527,1.984935,1
1347,205.71277777777777,9.075652,6.1142774,1
1355,205.66222222222223,7.183072,0.32160074,0
1447,204.6302777777778,5.2780666,3.0567842,1
1487,204.0013888888889,7.645943,1.2651204,1
1508,203.37777777777777,6.341394,1.5961143,1
1512,203.33333333333331,6.857174,1.7659341,0
1548,202.87277777777777,8.82332,3.520277,1
1581,202.00972222222225,6.28195,6.0677776,1
1620,201.2588888888889,5.6072054,5.2771854,1
1671,199.54166666666663,9.692971,0.23546705,1
1681,199.25861111111112,6.9905953,4.703801,1
1756,196.75611111111112,6.4509163,2.3494363,1
1793,195.97666666666663,4.8704476,3.4452817,1
1826,195.38694444444445,6.599976,0.89257896,0
1852,194.9025,4.933617,2.0780668,0
1854,194.88694444444445,8.1015,1.596176,0
1868,194.78722222222223,6.757571,3.9571795,0
1872,194.7244444444445,6.988593,3.4415915,1
1878,194.6611111111111,6.3576827,0.5207,0
1923,194.22083333333333,4.4443893,4.19962,0
1977,193.91972222222225,6.059892,2.436848,1
2012,193.5994444444445,8.134977,3.9992244,1
2108,192.7605555555556,8.242984,2.377045,0
2120,192.65527777777777,7.8097878,4.058186,1
2130,192.5938888888889,8.012532,4.46613,1
2162,192.31333333333333,5.5679235,5.3151007,1
2170,192.22833333333327,7.388256,2.5913458,1
2183,192.17888888888888,5.164519,3.441231,0
2224,191.92777777777775,8.975616,1.8342948,0
2255,191.61027777777775,8.494375,3.4897614,1
2262,191.54694444444445,3.3357067,2.5644894,0
2269,191.4872222222222,9.479258,0.6131384,1
2298,191.32111111111112,6.952882,3.5590403,1
2301,191.3075,8.695975,0.47294775,1
2309,191.26111111111112,7.232009,3.9151297,1
2321,191.18833333333333,7.2785387,3.4336326,1
2335,191.135,6.73183,1.7193303,1
2387,190.75944444444443,6.461034,1.4366057,0
2397,190.69722222222225,9.48548,0.64763284,1
2403,190.6575,5.8205347,3.4092298,0
2411,190.59444444444443,6.628652,2.9816961,1
2423,190.46305555555557,7.3491397,2.4125018,1
2432,190.32527777777776,8.884448,0.752239,0
2434,190.3113888888889,5.8438077,3.5679955,0
2441,190.20111111111112,6.931839,2.2760665,0
2452,190.0702777777778,9.505241,0.6140022,1
2515,189.47194444444443,6.8509617,1.5702454,0
2524,189.39555555555555,7.329448,3.407402,1
2543,189.1825,6.6417084,3.7690706,1
2547,189.1563888888889,6.9217215,0.9756743,0
2549,189.1211111111111,6.807634,1.5896218,1
2562,189.0583333333333,5.605251,5.2879415,1
2578,188.95166666666665,6.4986567,3.4841237,1
2591,188.79888888888888,7.2374177,1.6253524,1
2595,188.75972222222225,6.022556,1.3609161,0
2618,188.60083333333333,4.6852474,6.499766,1
2623,188.57555555555555,8.861867,4.5990925,1
