,TimeDiff,tweet_1st,tweet_2nd,Label
49,215.355,5.883354,1.1923814,0
62,215.1797222222222,5.6159735,4.6710234,1
91,214.755,7.789554,1.5670986,0
95,214.7475,8.20125,0.94830275,0
132,214.2880555555556,8.486047,3.3783035,0
156,214.0311111111111,8.051184,2.6891463,0
167,213.9477777777778,7.2691274,3.4985933,1
171,213.92138888888888,7.413411,3.5142949,1
186,213.76611111111112,5.967271,2.25044,1
206,213.53333333333333,11.271438,3.9299183,1
240,213.23611111111111,8.111163,6.3244786,1
349,212.5936111111111,6.105762,2.7310317,0
372,212.3730555555556,6.90492,3.2291195,1
392,212.2511111111111,6.854885,5.4745016,1
417,212.1030555555556,8.366727,3.4792352,1
439,212.0005555555556,9.37254,1.5923394,1
459,211.85666666666663,8.277751,6.4231534,0
464,211.83777777777777,7.2917714,3.434966,0
484,211.59194444444444,8.358492,6.5885983,0
539,211.11638888888888,7.9915795,3.6269202,0
591,210.74194444444444,8.549713,3.3567107,0
608,210.525,9.754093,3.622801,0
706,209.96277777777777,9.35151,1.6512293,1
747,209.61166666666668,7.2110786,1.1753291,0
760,209.5438888888889,9.580446,3.1498148,1
777,209.3711111111111,8.999832,3.2887716,0
790,209.3011111111111,7.1949706,3.3057637,1
805,209.19222222222223,6.2037487,1.2181027,0
840,209.0,9.412497,3.3495796,1
885,208.78194444444443,5.963345,1.8872538,0
934,208.4825,10.4141655,3.4703975,0
966,208.25,7.346069,1.1763798,1
994,208.1305555555556,6.5636086,2.8537717,1
1026,207.9013888888889,8.865458,3.2802088,1
1069,207.64277777777775,7.7956004,3.621339,1
1113,207.3736111111111,8.38421,7.713262,0
1141,207.18777777777777,5.9751043,2.722406,0
1153,207.14583333333331,7.0543256,1.1493216,0
1156,207.1313888888889,7.632936,3.3773293,0
1188,206.8883333333333,9.11589,3.570645,1
1199,206.82111111111112,6.836871,2.9368565,1
1206,206.78333333333333,7.7718363,3.1623006,1
1214,206.75,8.698901,3.293156,0
1247,206.5380555555556,5.861154,3.778514,0
1265,206.44416666666663,8.923863,3.2856183,1
1369,205.54444444444445,8.308066,3.118797,1
1399,205.21833333333333,10.233039,2.7245114,0
1410,205.08444444444444,9.169677,4.691997,1
1416,205.0305555555556,6.728466,6.6341944,1
1429,204.89666666666668,8.683206,3.2443376,1
1478,204.08666666666667,6.722438,3.0665016,1
1484,204.01555555555555,6.7440844,6.659164,1
1511,203.34833333333333,6.7095084,6.6619864,1
1523,203.23666666666668,7.136032,3.6032422,0
1562,202.50083333333333,8.235679,1.0444231,0
1577,202.0561111111111,8.558768,4.8327503,1
1588,201.8761111111111,8.835466,3.1258955,0
1605,201.5011111111111,8.277544,3.2987566,1
1654,200.0705555555556,7.860804,3.2766044,1
1656,200.02527777777777,8.1830845,4.4464335,0
1668,199.58416666666668,6.0807858,1.101084,1
1722,197.4825,9.353535,1.33523,1
1762,196.695,9.515865,1.2268971,1
1795,195.93166666666667,6.5186057,3.13047,1
1803,195.7633333333333,6.109662,2.3256767,1
1806,195.6977777777778,8.78408,3.5482569,0
1820,195.4388888888889,6.121767,1.1187932,1
1824,195.4008333333333,7.8721995,3.271638,1
1827,195.3802777777778,8.368409,3.319742,1
1830,195.2747222222222,8.683612,3.2608418,0
1861,194.82555555555555,6.9464827,3.192446,0
1870,194.76111111111112,8.213612,4.3695254,0
1912,194.3175,7.8526278,3.2734952,1
2062,193.15472222222223,7.836396,3.316207,1
2071,193.0888888888889,8.3243475,3.2677586,1
2085,192.9886111111111,7.9027762,2.2057714,1
2088,192.9525,7.348682,3.5054498,1
2104,192.81472222222223,10.414091,6.8519516,1
2116,192.67944444444444,6.603236,3.330905,1
2122,192.6447222222222,7.499929,3.2555668,1
2189,192.11305555555555,9.431062,1.2798142,1
2195,192.07861111111112,6.8996477,3.3004525,1
2207,192.0075,7.132924,3.383538,1
2229,191.85694444444445,8.054057,3.2039995,1
2233,191.8386111111111,8.352795,3.409047,1
2270,191.48055555555555,6.951545,3.5445266,1
2282,191.40666666666667,7.7617006,3.283906,1
2304,191.275,7.1669717,3.1574616,1
2311,191.25027777777777,7.238992,3.4359906,1
2314,191.22722222222225,8.345595,3.643962,1
2333,191.13861111111112,9.27879,1.6672814,1
2359,190.99194444444444,9.171484,2.4404001,1
2393,190.7225,8.546133,3.6729763,1
2472,189.91361111111112,8.363154,3.2418225,1
2496,189.6913888888889,9.994608,0.1117947,1
