,TimeDiff,tweet_1st,tweet_2nd,Label
3,215.9711111111111,8.767741,3.1706681,Food
8,215.93777777777777,6.9339895,3.5056076,Shelter
12,215.8227777777778,7.9651794,1.651576,Electricity
23,215.6952777777778,6.6160965,1.5132279,Shelter
25,215.6833333333333,6.4255795,3.059138,No Need
27,215.6475,8.386896,3.7909188,Shelter
29,215.64333333333332,6.5200224,1.6362141,Shelter
30,215.64305555555555,12.821662,-7.5484157,Electricity
31,215.6425,12.821639,-7.548419,Electricity
32,215.64138888888888,7.676022,4.642885,Electricity
33,215.6363888888889,8.326539,4.05748,Electricity
35,215.61694444444444,12.821644,-7.548443,Electricity
36,215.6027777777778,12.821639,-7.548399,Electricity
43,215.46694444444444,5.6102195,3.0245512,No Need
44,215.41361111111112,5.208274,2.4025397,Electricity
45,215.40472222222223,5.666107,2.9047513,No Need
47,215.39055555555555,5.273002,2.8314044,No Need
48,215.35972222222225,6.8025355,6.0793605,Electricity
49,215.355,5.883354,1.1923814,No Need
50,215.3486111111111,6.557307,4.0424633,Electricity
51,215.3475,6.5420237,2.6136742,Electricity
59,215.22694444444448,9.518955,0.63471794,Shelter
60,215.22027777777777,5.367934,3.5275064,Electricity
61,215.20694444444445,7.491564,0.70945513,No Need
62,215.1797222222222,5.6159735,4.6710234,Water
69,215.0641666666667,5.1475644,6.5869846,Shelter
80,214.91722222222225,7.1240997,0.5744075,No Need
87,214.8011111111111,9.262584,7.766528,No Need
88,214.80055555555555,6.7612505,2.5102365,Shelter
91,214.755,7.789554,1.5670986,No Need
92,214.75444444444443,5.57322,5.237259,Shelter
94,214.74777777777777,8.908997,0.22741814,Electricity
95,214.7475,8.20125,0.94830275,No Need
100,214.6747222222222,5.219022,3.0377421,No Need
103,214.64166666666668,5.7983713,2.900092,No Need
111,214.58277777777775,7.928976,6.8193383,Electricity
112,214.57111111111112,6.0180187,3.065458,Electricity
124,214.36388888888888,6.1345215,1.8967093,Electricity
132,214.2880555555556,8.486047,3.3783035,No Need
134,214.25,10.616501,5.0373945,Electricity
135,214.24944444444444,6.473673,0.9485986,No Need
139,214.2,8.531785,0.92042905,Food
140,214.1772222222222,8.01095,7.629936,No Need
143,214.13444444444443,5.149658,3.7047749,Shelter
146,214.11666666666667,5.830001,1.7228043,No Need
150,214.07527777777776,10.732941,2.2588513,Food
151,214.0727777777778,9.556689,1.1402917,Food
156,214.0311111111111,8.051184,2.6891463,No Need
161,214.005,7.638973,4.1749344,No Need
164,213.99388888888888,5.502518,3.000927,No Need
167,213.9477777777778,7.2691274,3.4985933,Water
171,213.92138888888888,7.413411,3.5142949,Water
176,213.88888888888889,8.718971,3.2716243,No Need
178,213.85111111111112,6.409512,4.1517553,No Need
183,213.80055555555555,5.725211,3.3043728,Electricity
186,213.76611111111112,5.967271,2.25044,Water
191,213.7455555555556,7.8561077,7.4822316,No Need
192,213.73166666666663,5.4634185,2.8139737,No Need
194,213.7175,9.672166,2.73007,Electricity
200,213.65,7.406828,2.3628092,Medicine
202,213.5963888888889,5.818163,3.0387409,Electricity
205,213.56833333333333,6.574259,2.4444163,No Need
206,213.53333333333333,11.271438,3.9299183,Water
208,213.5261111111111,6.828018,1.1092081,Electricity
211,213.50666666666663,7.057026,2.2010033,No Need
212,213.48638888888888,8.496565,3.8774076,Food
213,213.48611111111111,7.0836816,2.1128943,No Need
214,213.45222222222225,7.5004687,-0.4131368,No Need
215,213.44444444444449,8.849406,1.61696,No Need
219,213.40722222222223,7.7880535,3.8994975,Shelter
220,213.40444444444444,7.907721,7.24059,Electricity
237,213.26805555555555,6.705028,2.8424153,Electricity
240,213.23611111111111,8.111163,6.3244786,Water
250,213.15166666666667,6.1696196,1.044758,Food
254,213.115,7.4405313,4.2979236,Electricity
255,213.11416666666668,6.6859584,3.4460435,Shelter
257,213.09694444444443,7.6281476,1.546904,Electricity
263,213.0325,8.276858,1.3742728,No Need
266,213.0077777777778,6.5672626,3.4251611,Electricity
267,213.0052777777778,5.379165,6.938903,Electricity
270,212.99972222222223,5.764281,2.5184405,Electricity
277,212.96666666666667,7.332149,2.5948758,No Need
282,212.93166666666667,4.783865,0.6289314,Shelter
283,212.91694444444445,9.487967,0.6125439,Shelter
293,212.8875,5.685835,3.406469,No Need
298,212.88222222222225,5.501045,2.2730818,Electricity
303,212.85888888888888,7.599469,2.9348938,Electricity
313,212.82444444444445,9.605889,0.999678,Food
318,212.7902777777778,4.801138,0.62603325,Shelter
325,212.7425,7.941693,1.106138,No Need
333,212.67638888888888,5.057285,0.813787,Shelter
334,212.67305555555555,5.4563313,2.8929353,No Need
335,212.6675,6.9830136,0.8762753,No Need
341,212.6266666666667,8.068176,6.788206,Electricity
342,212.62027777777777,7.7678266,0.5551972,No Need
348,212.60111111111112,9.271538,2.4032738,Electricity
349,212.5936111111111,6.105762,2.7310317,No Need
365,212.49055555555557,7.625766,1.477836,No Need
368,212.44583333333333,7.560171,0.87853295,Electricity
372,212.3730555555556,6.90492,3.2291195,Water
373,212.3430555555556,5.094448,2.3528893,No Need
375,212.3347222222222,7.9574018,6.284797,Electricity
376,212.33333333333331,8.468428,7.594081,No Need
377,212.33166666666668,2.9290957,2.9926007,Food
389,212.2722222222222,7.575544,4.3840456,Electricity
392,212.2511111111111,6.854885,5.4745016,Water
399,212.20166666666665,9.466693,2.7499046,Food
402,212.1836111111111,6.10512,0.70880646,Medicine
408,212.17138888888888,9.045262,5.010975,No Need
410,212.155,6.679942,5.183442,Electricity
411,212.15444444444444,6.6217446,5.453542,No Need
412,212.1363888888889,6.5237823,1.8588129,Shelter
413,212.1352777777778,9.548394,1.0912628,Food
414,212.1286111111111,8.3204,3.8543937,Food
416,212.10472222222225,6.3440204,3.3045738,Electricity
417,212.1030555555556,8.366727,3.4792352,Water
420,212.09694444444443,4.7751956,3.3989003,No Need
422,212.0911111111111,6.6078362,6.378892,No Need
423,212.08388888888888,7.428984,1.1690446,No Need
428,212.0475,9.522098,0.57805645,Shelter
439,212.0005555555556,9.37254,1.5923394,Water
450,211.95277777777775,6.982473,1.0730639,Electricity
452,211.9308333333333,8.729276,1.5635827,Electricity
455,211.9208333333333,7.0018907,1.1202283,Electricity
456,211.91722222222225,8.4372835,6.4522557,No Need
457,211.91694444444445,7.355139,0.7614721,No Need
458,211.86277777777775,4.9189076,3.3725762,Food
459,211.85666666666663,8.277751,6.4231534,No Need
464,211.83777777777777,7.2917714,3.434966,No Need
467,211.76777777777775,7.8378177,3.803713,Electricity
469,211.7108333333333,8.036581,6.8698783,Electricity
471,211.69944444444445,7.5985055,5.311248,Food
478,211.6233333333333,7.77658,1.2715251,No Need
480,211.61444444444444,5.5846057,3.1699166,No Need
484,211.59194444444444,8.358492,6.5885983,No Need
487,211.58194444444445,6.3793497,2.8857207,No Need
488,211.55777777777777,4.484937,2.4890168,No Need
495,211.5186111111111,8.961072,2.9750993,Shelter
496,211.50416666666663,6.1756926,1.4284097,Shelter
501,211.4633333333333,8.177465,4.752783,No Need
506,211.42527777777775,9.554529,1.1427286,Food
507,211.42166666666665,8.009303,1.7856153,No Need
510,211.41416666666663,4.671952,2.7824292,No Need
513,211.4,9.521835,1.1992699,Food
524,211.26,9.033539,0.19112124,Electricity
535,211.16166666666663,6.125175,2.756978,Electricity
536,211.1525,8.268966,2.1629019,Medicine
538,211.1355555555556,6.999424,0.8511199,No Need
539,211.11638888888888,7.9915795,3.6269202,No Need
540,211.1122222222222,6.2594743,2.6322253,Electricity
546,211.05944444444444,5.444947,6.8882437,Food
550,211.0338888888889,8.910753,6.6184764,Shelter
556,211.01444444444445,6.569322,2.9114215,Food
558,211.00833333333333,7.256984,0.960152,Shelter
562,210.9908333333333,8.048717,3.5795093,Food
566,210.9405555555556,8.618082,1.7371027,Electricity
568,210.9225,6.2886305,4.7049403,Electricity
572,210.87166666666667,6.534867,2.2503438,No Need
589,210.7933333333333,3.4669118,3.2487576,Food
590,210.75194444444443,8.179239,1.3862276,Electricity
591,210.74194444444444,8.549713,3.3567107,No Need
593,210.72194444444443,6.143244,1.6214412,No Need
598,210.66472222222225,6.4063106,1.1966747,No Need
602,210.59222222222223,5.3016796,3.0211797,Electricity
603,210.5888888888889,10.683958,3.8813736,Electricity
604,210.57722222222225,6.210907,4.5905604,No Need
608,210.525,9.754093,3.622801,No Need
609,210.52277777777775,6.6567593,2.520245,Electricity
611,210.5052777777778,6.8849273,5.5665483,Shelter
